Gamma-Ray Energy (KeV),Nuclide,Isotope,HalfLife,Half Life Uncertainty,Branching Ratio (%),Activity (?Ci),Gammas per second,Total Uncertainty
47,82,210,22.3,0.2,4.18,1.136,1757,4
60,95,241,432.17,0.66,36,0.1132,1508,3
88,48,109,1.27,0.7,3.63,1.058,1421,3
122,48,109,0.74,0.0025,85.6,0.04088,1295,3.1
159,52,123,0.33,0.000273,84,0.05547,1724,3
320,24,51,0.08,0.0000081,9.86,1.412,5151,3
392,50,113,0.31,0.000462,64.9,0.1984,4764,3
514,38,85,0.18,0.000037,98.4,0.2537,9237,3
662,55,137,30.17,0.000438,85.1,0.1804,5680,3
898,39,88,0.29,0.0000685,94,0.4061,14120,3
1173,27,60,5.27,2.7397E-07,99.86,0.2148,7936,3
1333,27,60,5.27,2.7397E-07,99.98,0.2148,7946,3
1836,39,88,0.29,0.0000685,99.4,0.4061,14940,3